id,dc_code,start_day,end_day,hl_day,discriminator_type
270,4,2017-02-19,2017-02-25,2017-02-15,hlexpectedday
271,4,2017-02-26,2017-03-04,2017-02-22,hlexpectedday
272,4,2017-03-05,2017-03-11,2017-03-01,hlexpectedday
273,4,2017-03-12,2017-03-18,2017-03-08,hlexpectedday
274,4,2017-03-19,2017-03-25,2017-03-15,hlexpectedday
275,4,2017-03-26,2017-04-01,2017-03-22,hlexpectedday
276,4,2017-04-02,2017-04-08,2017-03-29,hlexpectedday
277,4,2017-04-09,2017-04-15,2017-04-05,hlexpectedday
278,4,2017-04-16,2017-04-22,2017-04-12,hlexpectedday
279,4,2017-04-23,2017-04-29,2017-04-19,hlexpectedday
280,4,2017-04-30,2017-05-06,2017-04-26,hlexpectedday
281,4,2017-05-07,2017-05-13,2017-05-03,hlexpectedday
282,4,2017-05-14,2017-05-20,2017-05-10,hlexpectedday
283,4,2017-05-21,2017-05-27,2017-05-17,hlexpectedday
284,4,2017-05-28,2017-06-03,2017-05-24,hlexpectedday
285,4,2017-06-04,2017-06-10,2017-05-31,hlexpectedday
286,4,2017-06-11,2017-06-17,2017-06-07,hlexpectedday
287,4,2017-06-18,2017-06-24,2017-06-14,hlexpectedday
288,4,2017-06-25,2017-07-01,2017-06-21,hlexpectedday
289,4,2017-07-02,2017-07-08,2017-06-28,hlexpectedday
290,4,2017-07-09,2017-07-15,2017-07-05,hlexpectedday
291,4,2017-07-16,2017-07-22,2017-07-12,hlexpectedday
292,4,2017-07-23,2017-07-29,2017-07-19,hlexpectedday
293,4,2017-07-30,2017-08-05,2017-07-26,hlexpectedday
294,4,2017-08-06,2017-08-12,2017-08-02,hlexpectedday
295,4,2017-08-13,2017-08-19,2017-08-09,hlexpectedday
296,4,2017-08-20,2017-08-26,2017-08-16,hlexpectedday
297,4,2017-08-27,2017-09-02,2017-08-23,hlexpectedday
298,4,2017-09-03,2017-09-09,2017-08-30,hlexpectedday
299,4,2017-09-10,2017-09-16,2017-09-06,hlexpectedday
300,4,2017-09-17,2017-09-23,2017-09-13,hlexpectedday
301,4,2017-09-24,2017-09-30,2017-09-20,hlexpectedday
302,4,2017-10-01,2017-10-07,2017-09-27,hlexpectedday
303,4,2017-10-08,2017-10-14,2017-10-04,hlexpectedday
304,4,2017-10-15,2017-10-21,2017-10-11,hlexpectedday
305,4,2017-10-22,2017-10-28,2017-10-18,hlexpectedday
306,4,2017-10-29,2017-11-04,2017-10-25,hlexpectedday
307,4,2017-11-05,2017-11-11,2017-11-01,hlexpectedday
