id,brand_id,item_option_id,output_category_id,order_item_name,order_category_name,order_frontage_size,order_lr,order_with,order_other,output_category,output_part_number1,output_part_number2,output_addition1,output_addition2,output_ek_no,output_base_wheel,output_height,output_width,output_finish,output_grain_direction,output_quantity,output_line,output_color,output_wood_color,output_append_option,output_press_manufacturer_name,output_totte_product,output_selected_color,temporary_id,color_classification,output_grant_line,output_selection_color,line,line_color,end_color,discriminator_type
86,2,MIHS6060OPS,,インセット引き出し・浅型[2020～仕様]：MIHS60-60-OPS,引き出し,,,,,,MIHS60-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
87,2,MIHS7060OPS,,インセット引き出し・浅型[2020～仕様]：MIHS70-60-OPS,引き出し,,,,,,MIHS70-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
88,2,MIHS8060OPS,,インセット引き出し・浅型[2020～仕様]：MIHS80-60-OPS,引き出し,,,,,,MIHS80-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
89,2,MMHD4060OPS,,インセット引き出し・深型[2011～2020仕様]：MMHD40-60-OPS,引き出し,,,,,,MMHD40-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
90,2,MMHD5060OPS,,インセット引き出し・深型[2011～2020仕様]：MMHD50-60-OPS,引き出し,,,,,,MMHD50-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
91,2,MMHD6060OPS,,インセット引き出し・深型[2011～2020仕様]：MMHD60-60-OPS,引き出し,,,,,,MMHD60-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
92,2,MMHD7060OPS,,インセット引き出し・深型[2011～2020仕様]：MMHD70-60-OPS,引き出し,,,,,,MMHD70-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
93,2,MMHD8060OPS,,インセット引き出し・深型[2011～2020仕様]：MMHD80-60-OPS,引き出し,,,,,,MMHD80-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
94,2,MMHS4060OPS,,インセット引き出し・浅型[2011～2020仕様]：MMHS40-60-OPS,引き出し,,,,,,MMHS40-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
95,2,MMHS5060OPS,,インセット引き出し・浅型[2011～2020仕様]：MMHS50-60-OPS,引き出し,,,,,,MMHS50-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
96,2,MMHS6060OPS,,インセット引き出し・浅型[2011～2020仕様]：MMHS60-60-OPS,引き出し,,,,,,MMHS60-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
97,2,MMHS7060OPS,,インセット引き出し・浅型[2011～2020仕様]：MMHS70-60-OPS,引き出し,,,,,,MMHS70-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
98,2,MMHS8060OPS,,インセット引き出し・浅型[2011～2020仕様]：MMHS80-60-OPS,引き出し,,,,,,MMHS80-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
99,2,MHD4060OPS,,インセット引き出し・深型[～2011仕様]：MHD40-60-OPS,引き出し,,,,,,MHD40-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
100,2,MHD5060OPS,,インセット引き出し・深型[～2011仕様]：MHD50-60-OPS,引き出し,,,,,,MHD50-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
101,2,MHD6060OPS,,インセット引き出し・深型[～2011仕様]：MHD60-60-OPS,引き出し,,,,,,MHD60-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
102,2,MHD7060OPS,,インセット引き出し・深型[～2011仕様]：MHD70-60-OPS,引き出し,,,,,,MHD70-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
103,2,MHD8060OPS,,インセット引き出し・深型[～2011仕様]：MHD80-60-OPS,引き出し,,,,,,MHD80-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
104,2,MHS4060OPS,,インセット引き出し・浅型[～2011仕様]：MHS40-60-OPS,引き出し,,,,,,MHS40-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
105,2,MHS5060OPS,,インセット引き出し・浅型[～2011仕様]：MHS50-60-OPS,引き出し,,,,,,MHS50-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
106,2,MHS6060OPS,,インセット引き出し・浅型[～2011仕様]：MHS60-60-OPS,引き出し,,,,,,MHS60-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
107,2,MHS7060OPS,,インセット引き出し・浅型[～2011仕様]：MHS70-60-OPS,引き出し,,,,,,MHS70-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
108,2,MHS8060OPS,,インセット引き出し・浅型[～2011仕様]：MHS80-60-OPS,引き出し,,,,,,MHS80-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
109,2,MPHLOPS,,ズボン掛け[2011～仕様]：MPHL-OPS,ズボン掛け,,,,,,MPHL-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
110,2,MPHROPS,,ズボン掛け[2011～仕様]：MPHR-OPS,ズボン掛け,,,,,,MPHR-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
111,2,PHLOPS,,ズボン掛け[～2011仕様]：PHL-OPS,ズボン掛け,,,,,,PHL-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
112,2,PHROPS,,ズボン掛け[～2011仕様]：PHR-OPS,ズボン掛け,,,,,,PHR-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
113,2,MN30OPS,,ネクタイ掛け：MN30-OPS,ネクタイ掛け,,,,,,MN30-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
114,2,MN35OPS,,ネクタイ掛け：MN35-OPS,ネクタイ掛け,,,,,,MN35-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
115,2,MN40OPS,,ネクタイ掛け：MN40-OPS,ネクタイ掛け,,,,,,MN40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
116,2,MN50OPS,,ネクタイ掛け：MN50-OPS,ネクタイ掛け,,,,,,MN50-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
117,2,MPT4045OPS,,プラスチックトレイ：MPT40-45-OPS,トレイ,,,,,,MPT40-45-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
118,2,MPT5030OPS,,プラスチックトレイ：MPT50-30-OPS,トレイ,,,,,,MPT50-30-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
119,2,MPT5040OPS,,プラスチックトレイ：MPT50-40-OPS,トレイ,,,,,,MPT50-40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
120,2,MPT5045OPS,,プラスチックトレイ：MPT50-45-OPS,トレイ,,,,,,MPT50-45-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
121,2,MPT6030OPS,,プラスチックトレイ：MPT60-30-OPS,トレイ,,,,,,MPT60-30-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
122,2,MPT6040OPS,,プラスチックトレイ：MPT60-40-OPS,トレイ,,,,,,MPT60-40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
123,2,MPT6045OPS,,プラスチックトレイ：MPT60-45-OPS,トレイ,,,,,,MPT60-45-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
124,2,MPT6060OPS,,プラスチックトレイ：MPT60-60-OPS,トレイ,,,,,,MPT60-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
125,2,MWTD4030OPS,,ワイヤートレイ・深型：MWTD40-30-OPS,トレイ,,,,,,MWTD40-30-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
126,2,MWTD4040OPS,,ワイヤートレイ・深型：MWTD40-40-OPS,トレイ,,,,,,MWTD40-40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
127,2,MWTD4045OPS,,ワイヤートレイ・深型：MWTD40-45-OPS,トレイ,,,,,,MWTD40-45-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
128,2,MWTD4060OPS,,ワイヤートレイ・深型：MWTD40-60-OPS,トレイ,,,,,,MWTD40-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
129,2,MWTD5030OPS,,ワイヤートレイ・深型：MWTD50-30-OPS,トレイ,,,,,,MWTD50-30-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
130,2,MWTD5040OPS,,ワイヤートレイ・深型：MWTD50-40-OPS,トレイ,,,,,,MWTD50-40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
